,dist,crop,eff
425,NAYAGARH,Sugarcane,63.100329143449535
426,NEEMUCH,Sugarcane,38.99159663865546
427,NICOBARS,Coconut ,3734.411082521997
428,NIZAMABAD,Coconut ,10520.08695652174
429,NORTH AND MIDDLE ANDAMAN,Coconut ,3635.294117647059
430,NORTH DISTRICT,Other Vegetables,4.829493087557604
431,NORTH GARO HILLS,Banana,12.39067922657412
432,NORTH GOA,Coconut ,3283.9614769157824
433,NORTH TRIPURA,Sugarcane,51.49322493224932
434,NUAPADA,Sugarcane,45.36211453744494
435,OSMANABAD,Banana,75.1
436,PAKUR,Sugarcane,43.24324324324324
437,PALAKKAD,Coconut ,6327.739323031586
438,PALAMU,Sugarcane,42.00275839010323
439,PALGHAR,Rice,2.517379679144385
440,PALI,Sugarcane,46.0
441,PALWAL,Sugarcane,41.17466646219905
442,PANCH MAHALS,Sugarcane,63.0
443,PANCHKULA,Sugarcane,57.13137806347931
444,PANIPAT,Sugarcane,59.402522959770714
445,PANNA,Banana,25.294117647058822
446,PAPUM PARE,Sugarcane,17.489249339871748
447,PARBHANI,Sugarcane,71.49719693749032
448,PASHCHIM CHAMPARAN,Sugarcane,48.24435723064037
449,PATAN,Potato,22.685714285714287
450,PATHANAMTHITTA,Coconut ,5597.976792417842
451,PATHANKOT,Sugarcane,90.13662112629123
452,PATIALA,Sugarcane,75.820801511692
453,PATNA,Sugarcane,37.10952717007763
454,PAURI GARHWAL,Sugarcane,61.421052631578945
455,PERAMBALUR,Coconut ,1595.599507325295
456,PEREN,Sugarcane,40.8957654723127
457,PHEK,Sugarcane,39.80203045685279
458,PILIBHIT,Sugarcane,60.56480852496589
459,PITHORAGARH,Potato,11.647181790027872
460,PONDICHERRY,Coconut ,13566.318327974277
461,POONCH,Potato,8.898591549295775
462,PORBANDAR,Onion,28.11764705882353
463,PRAKASAM,Coconut ,11707.923228346457
464,PRATAPGARH,Sugarcane,48.946232699134455
465,PUDUKKOTTAI,Coconut ,3775.447956995652
466,PULWAMA,Potato,11.871907756813416
467,PUNE,Sugarcane,95.9786686965701
468,PURBI CHAMPARAN,Sugarcane,46.40459710683103
469,PURI,Sugarcane,58.43404094010613
470,PURNIA,Sugarcane,44.26013143483023
471,PURULIA,Coconut ,2477.7289628180038
472,RAE BARELI,Sugarcane,44.38295604364779
473,RAICHUR,Sugarcane,91.3118574366004
474,RAIGAD,Banana,17.3
475,RAIGARH,Banana,28.755020080321284
476,RAIPUR,Banana,42.091275167785234
477,RAISEN,Sugarcane,15.754706714550005
478,RAJAURI,Potato,5.882352941176471
479,RAJGARH,Papaya,25.34375
480,RAJKOT,Sugarcane,75.17241379310344
481,RAJNANDGAON,Papaya,46.0
482,RAJSAMAND,Sugarcane,44.90988372093023
483,RAMANAGARA,Sugarcane,89.09439888326645
484,RAMANATHAPURAM,Coconut ,1445.0975163960863
485,RAMBAN,Maize,0.9226255224136944
486,RAMGARH,Onion,6.433566433566433
487,RAMPUR,Sugarcane,59.09447900179447
488,RANCHI,Potato,7.336459147520781
489,RANGAREDDI,Coconut ,10615.009433962265
490,RATLAM,Papaya,56.361111111111114
491,RATNAGIRI,Banana,23.3
492,RAYAGADA,Sugarcane,46.47943037974682
493,REASI,Potato,19.49027777777778
494,REWA,Sugarcane,26.386687797147385
495,REWARI,Onion,16.44736842105263
496,RI BHOI,Banana,17.110886075949367
497,ROHTAK,Sugarcane,49.323607008839886
498,ROHTAS,Sugarcane,33.1899200983405
499,RUDRA PRAYAG,Potato,11.788303381053915
500,RUPNAGAR,Sugarcane,59.577178707498526
501,S.A.S NAGAR,Sugarcane,81.26410835214448
502,SABAR KANTHA,Sugarcane,69.58333333333333
503,SAGAR,Papaya,27.0
504,SAHARANPUR,Sugarcane,61.20668740014183
505,SAHARSA,Sugarcane,47.46190476190476
506,SAHEBGANJ,Potato,11.022676496872208
507,SAIHA,Sugarcane,9.061538461538461
508,SALEM,Coconut ,1902.2333905071264
509,SAMASTIPUR,Sugarcane,37.815895842219646
510,SAMBA,Potato,12.85
511,SAMBALPUR,Sugarcane,57.12712066905614
512,SAMBHAL,Sugarcane,61.48542461722378
513,SANGLI,Sugarcane,98.87026345694935
514,SANGRUR,Sugarcane,76.05469320227726
515,SANT KABEER NAGAR,Sugarcane,55.3897869367796
516,SANT RAVIDAS NAGAR,Sugarcane,44.214569420802235
517,SARAIKELA KHARSAWAN,Potato,7.171694167822611
518,SARAN,Sugarcane,42.01813198397639
519,SATARA,Sugarcane,92.74655224161525
520,SATNA,Papaya,23.92452830188679
521,SAWAI MADHOPUR,Sugarcane,74.22095671981776
522,SEHORE,Sugarcane,40.01013171225937
523,SENAPATI,Banana,12.475666074600355
524,SEONI,Sugarcane,29.305387612521834
525,SEPAHIJALA,Sugarcane,55.98882681564246
526,SERCHHIP,Sugarcane,14.905547226386807
527,SHAHDOL,Sugarcane,24.350649350649352
528,SHAHJAHANPUR,Sugarcane,56.84032730183756
529,SHAJAPUR,Papaya,52.07692307692308
530,SHAMLI,Sugarcane,75.46123481885286
531,SHEIKHPURA,Sugarcane,54.880228974020255
532,SHEOHAR,Sugarcane,49.79115479115479
533,SHEOPUR,Sugarcane,39.30390492359932
534,SHIMLA,Sugarcane,12.5
535,SHIMOGA,Sugarcane,113.54496222327892
536,SHIVPURI,Sugarcane,21.831491712707184
537,SHOPIAN,Potato,8.375784753363229
538,SHRAVASTI,Sugarcane,52.55809109725458
539,SIDDHARTH NAGAR,Sugarcane,54.12087524559606
540,SIDHI,Sugarcane,23.079019073569484
541,SIKAR,Sugarcane,50.59672131147541
542,SIMDEGA,Potato,6.071342114631542
543,SINDHUDURG,Sugarcane,87.9090909090909
544,SINGRAULI,Onion,44.945084485407065
545,SIRMAUR,Sugarcane,14.104484304932736
546,SIROHI,Sugarcane,60.05882352941177
