,District,State,Latitude,Longitude,Crop,eff
221,MANDYA,Karnataka,12.574901806239744,76.81570098522172,Sugarcane,119.86255108466163
222,MYSORE,Karnataka,12.248100259403367,76.52881802853437,Sugarcane,106.99899205539313
223,RAICHUR,Karnataka,16.050795353982295,76.87368606194688,Sugarcane,91.3118574366004
224,SHIMOGA,Karnataka,14.063845885634592,75.17882078103197,Sugarcane,113.54496222327892
225,TUMKUR,Karnataka,13.592467760074973,77.02297966260545,Sugarcane,93.18792259267894
226,UDUPI,Karnataka,13.450404228534568,74.72009990316337,Sugarcane,87.83834095362508
227,UTTAR KANNAD,Karnataka,14.538957976244202,74.35229081341113,Sugarcane,81.3073983073983
228,ALAPPUZHA,Kerala,9.542602965599087,76.38010796263319,Coconut ,5349.394022029876
229,ERNAKULAM,Kerala,10.004879301987431,76.26957729035381,Coconut ,5153.614694812554
230,IDUKKI,Kerala,9.80480963855423,77.04586641566264,Coconut ,3900.8417804893706
231,KANNUR,Kerala,11.941523076923056,75.35209891725934,Coconut ,5917.192519811863
232,KASARAGOD,Kerala,12.33310309912974,75.07768497134369,Coconut ,7621.912852175824
233,KOLLAM,Kerala,8.929388820570157,76.6360775852431,Coconut ,6012.371564556459
234,KOTTAYAM,Kerala,9.643701174068417,76.46059673302705,Coconut ,4661.012018226914
235,KOZHIKODE,Kerala,11.392924270557026,75.71158720159153,Coconut ,6692.428947597335
236,MALAPPURAM,Kerala,10.97329875666072,75.93910775606876,Coconut ,7464.101711673771
237,PALAKKAD,Kerala,10.784926903553291,76.49980490693744,Coconut ,6327.739323031586
238,PATHANAMTHITTA,Kerala,9.291312393162404,76.86412329059833,Coconut ,5597.976792417842
239,THIRUVANANTHAPURAM,Kerala,8.537101759082221,76.88711502868073,Coconut ,6849.148687681515
240,THRISSUR,Kerala,10.458932647907687,76.12321940836945,Coconut ,6585.341238181073
241,WAYANAD,Kerala,11.715277464788736,76.07587007042254,Coconut ,3941.6485389105133
242,ANUPPUR,Madhya Pradesh,23.18184220430107,81.86560000000007,Sugarcane,26.71232876712329
243,ASHOKNAGAR,Madhya Pradesh,24.63098846153845,77.82974493927134,Papaya,40.63636363636363
244,BALAGHAT,Madhya Pradesh,21.80020720640569,80.42170053380796,Sugarcane,39.880195599022
245,BARWANI,Madhya Pradesh,21.702135714285724,74.91004719710673,Papaya,34.65625
246,BETUL,Madhya Pradesh,21.964626315789477,77.7873428189117,Sugarcane,42.573379407968694
247,BHIND,Madhya Pradesh,26.35951126187245,78.7618324287653,Papaya,27.0
248,BHOPAL,Madhya Pradesh,23.480726143790854,77.39246623093679,Sugarcane,20.9476101022751
249,BURHANPUR,Madhya Pradesh,21.364567254408065,76.24460478589425,Sugarcane,56.18292974486834
250,CHHATARPUR,Madhya Pradesh,24.813637376460004,79.56449299191374,Sugarcane,20.6000789577576
251,CHHINDWARA,Madhya Pradesh,22.227966971713823,78.76413136439254,Banana,57.529411764705884
252,DAMOH,Madhya Pradesh,23.76624407960196,79.47049303482588,Sugarcane,24.353205849268843
253,DATIA,Madhya Pradesh,25.90226439560441,78.63916571428574,Sugarcane,33.911682760199994
254,DEWAS,Madhya Pradesh,22.7851110021322,76.46088805970157,Papaya,29.6
255,DHAR,Madhya Pradesh,22.572681718963157,75.1105620736698,Banana,37.882875264270616
256,DINDORI,Madhya Pradesh,22.83738437047757,81.04332966714911,Onion,13.965579710144928
257,EAST DISTRICT,Madhya Pradesh,22.09898560070669,76.55805503533558,Potato,4.975935828877005
258,GUNA,Madhya Pradesh,24.49043927178156,77.2235895968791,Papaya,42.0
259,GWALIOR,Madhya Pradesh,26.04074441964285,78.12782433035713,Sugarcane,35.06657138558748
260,HARDA,Madhya Pradesh,22.227659781121783,77.07022571819435,Papaya,40.125
261,HOSHANGABAD,Madhya Pradesh,22.595268801996703,78.02168094841929,Papaya,41.657534246575345
262,INDORE,Madhya Pradesh,22.680265752128648,75.9133801324502,Papaya,46.5
263,JABALPUR,Madhya Pradesh,23.18525572327043,79.98328754716981,Papaya,49.5
264,JHABUA,Madhya Pradesh,22.419578015397768,74.40921616766468,Papaya,39.27777777777778
265,KATNI,Madhya Pradesh,23.724416229116937,80.33819665871127,Banana,71.08108108108108
266,MANDLA,Madhya Pradesh,22.70348712446353,80.38600543633753,Sugarcane,22.150231049061055
267,MANDSAUR,Madhya Pradesh,24.19278764044944,75.43588667736759,Papaya,36.470588235294116
